rank,player_id,first_name,last_name,rating,theta,SE,games,last_game
1,31,Ситара,Абасова,-0.087897,0.084378,0.034455,230,2025-06-14
2,23,Андрей,Абащенко,-0.107257,0.041516,0.029754,76,2025-07-26
3,30,Орхан,Аббасов,-0.107582,0.06703,0.034922,100,2015-10-02
4,35,Нарек,Абгарян,-0.114665,0.084096,0.039752,205,2022-08-06
5,47,Алёна,Матвеева,-0.134989,0.081211,0.04324,203,2025-06-15
6,16,Азер,Абасалиев,-0.135958,0.068512,0.040894,111,2025-12-14
7,15,Олег,Абарников,-0.144378,0.077245,0.044325,151,2023-05-27
8,38,Эдуард,Абдеев,-0.172304,0.05207,0.044875,86,2021-10-31
9,29,Низами,Аббасов,-0.202971,-0.038609,0.032872,42,2016-03-31
10,41,Айдар,Абдрахманов,-0.289735,-0.109823,0.035982,29,2014-04-30
11,19,Александр,Абашев,-0.36154,-0.173283,0.037651,20,2009-04-24
12,11,Наталья,Абалымова,-0.435727,-0.234343,0.040277,14,2025-09-27
